2016-07-09 16:43, 15.900, 34.800, 2013, impreza, portland, automatic, excellent, clean, Subaru for sale, 2016-06-20 09:55, http://eugene.craigslist.org/cto/5644711122.html, db:5644711122:db 
2016-07-09 16:43, 10.700, 62.345, 2008, impreza, portland, automatic, good, clean, 2008 Subaru Impreza sport, 2016-06-17 15:04, http://yakima.craigslist.org/cto/5640729931.html, db:5640729931:db 
2016-07-09 16:43, 10.700, 62.656, 2008, impreza, portland, automatic, good, clean, 2008 Subaru Impreza sport package, 2016-06-17 14:44, http://seattle.craigslist.org/see/cto/5640728215.html, db:5640728215:db 
2016-07-09 16:43, 15.000, 5.000, 2015, outback, losangeles, automatic, unknown, clean, 2015 Subaru Outback Limited (SANDIEGO), 2016-07-07 01:12, http://inlandempire.craigslist.org/cto/5671030320.html, db:5671030320:db 
2016-07-09 16:43, 15.000, 65.000, 2011, forester, losangeles, automatic, good, clean, 2011 Subaru Forester 2.5X 65-000mi, 2016-06-20 20:44, http://losangeles.craigslist.org/wst/cto/5645754933.html, db:5645754933:db 
2016-07-09 16:43, 14.600, 69.824, 2011, forester, losangeles, automatic, excellent, clean, 2011 Subaru Forester 2.5x Premium, 2016-07-01 13:29, http://orangecounty.craigslist.org/cto/5653206611.html, db:5653206611:db 
2016-07-09 16:43, 13.000, 56.000, 2013, impreza, losangeles, automatic, unknown, clean, 2013 Subaru Impreza **Mechanic owned**, 2016-06-26 08:20, http://orangecounty.craigslist.org/cto/5654463133.html, db:5654463133:db 
2016-07-09 16:43, 11.500, 55.000, 2010, impreza, losangeles, automatic, excellent, clean, 2010 Subaru Impreza i Premium, 2016-06-12 12:43, http://inlandempire.craigslist.org/cto/5632263814.html, db:5632263814:db 
2016-07-09 16:43, 15.500, 49.000, 2011, outback, chicago, automatic, excellent, clean, Subaru Outback 2011 Silver Limited, 2016-06-21 19:33, http://chicago.craigslist.org/nch/cto/5647269891.html, db:5647269891:db 
2016-07-09 16:43, 12.990, 57.690, 2011, outback, chicago, automatic, good, clean, 2011 Subaru Outback 2.5i, 2016-06-16 21:58, http://chicago.craigslist.org/chc/cto/5639588428.html, db:5639588428:db 
2016-07-09 16:43, 8.500, 79.000, 2010, impreza, chicago, automatic, unknown, clean, 2010 Subaru Impreza- 79k- automatic- extra clean inside & out!, 2016-07-05 13:39, http://chicago.craigslist.org/nwc/cto/5638839162.html, db:5638839162:db 
2016-07-09 16:43, 15.234, 65.000, 2012, impreza, chicago, automatic, unknown, clean, 2012 Sport Prem., 2016-06-26 14:10, http://chicago.craigslist.org/chc/cto/5654827350.html, db:5654827350:db 
2016-07-09 16:43, 14.887, 63.000, 2012, impreza, chicago, automatic, unknown, clean, 2012 Sport Prem. A+ Condition! $14887 OBO, 2016-06-26 14:08, http://chicago.craigslist.org/chc/cto/5654824900.html, db:5654824900:db 
2016-07-09 16:43, 14.957, 63.000, 2012, impreza, chicago, automatic, unknown, clean, 2012 Sport Prem. A+ Condition! $14887 OBO, 2016-06-26 13:57, http://chicago.craigslist.org/chc/cto/5654807000.html, db:5654807000:db 
2016-07-09 16:43, 14.887, 63.000, 2012, impreza, chicago, automatic, unknown, clean, 2012 Sport Prem. A+ Condition! $14887 OBO, 2016-06-26 13:52, http://chicago.craigslist.org/chc/cto/5654799347.html, db:5654799347:db 
2016-07-09 16:43, 14.987, 65.000, 2012, impreza, chicago, automatic, unknown, clean, 2012 Sport Prem. A+ Condition! $14987 OBO, 2016-06-26 13:51, http://chicago.craigslist.org/chc/cto/5654797816.html, db:5654797816:db 
2016-07-09 16:43, 15.500, 67.592, 2012, impreza, chicago, automatic, unknown, clean, 2012 Subaru Impreza With Lots Of Options, 2016-06-23 18:32, http://chicago.craigslist.org/chc/cto/5607250265.html, db:5607250265:db 
2016-07-09 16:43, 15.500, 67.592, 2012, impreza, chicago, automatic, unknown, clean, 2012 Subaru Impreza Sport With Lots Of Options, 2016-06-23 18:31, http://chicago.craigslist.org/nch/cto/5607266870.html, db:5607266870:db 
2016-07-09 16:43, 15.500, 67.592, 2012, impreza, chicago, automatic, unknown, clean, 2012 Subaru Impreza Sport With Lots Of Options, 2016-06-23 18:29, http://chicago.craigslist.org/nwc/cto/5607281809.html, db:5607281809:db 
2016-07-09 16:43, 14.887, 65.000, 2012, impreza, chicago, automatic, excellent, clean, 2012 Sport Prem- A+ Condition! $14887 OBO, 2016-06-14 08:58, http://chicago.craigslist.org/wcl/cto/5634927393.html, db:5634927393:db 
2016-07-09 16:43, 13.495, 58.989, 2012, impreza, chicago, automatic, excellent, clean, ***2012 Subaru Impreza Premium- low miles- super clean- no accidents**, 2016-06-11 22:25, http://chicago.craigslist.org/nwi/cto/5604043976.html, db:5604043976:db 
2016-07-09 16:43, 9.999, 42.000, 2010, impreza, chicago, manual, excellent, clean, 2010 Subaru Impreza- Black, 2016-06-10 13:47, http://chicago.craigslist.org/wcl/cto/5624205029.html, db:5624205029:db 
2016-07-09 16:43, 10.900, 47.800, 2010, impreza, chicago, automatic, excellent, clean, Subaru, 2016-07-06 12:27, http://milwaukee.craigslist.org/cto/5669979436.html, db:5669979436:db 
2016-07-09 16:43, 15.500, 67.592, 2012, impreza, chicago, automatic, unknown, clean, 2012 Subaru Impreza Sport With Lots Of Options, 2016-06-23 18:34, http://racine.craigslist.org/cto/5607211839.html, db:5607211839:db 
2016-07-09 16:43, 15.500, 67.592, 2012, impreza, chicago, automatic, unknown, clean, 2012 Subaru Impreza Sport With Lots Of Options, 2016-06-23 18:33, http://milwaukee.craigslist.org/cto/5607231115.html, db:5607231115:db 
2016-07-09 16:43, 11.999, 26.000, 2010, impreza, chicago, automatic, unknown, clean, 2010 Subaru impreza, 2016-06-13 21:18, http://milwaukee.craigslist.org/cto/5591277374.html, db:5591277374:db 
2016-07-09 16:43, 9.975, 69.000, 2008, outback, newyork, automatic, excellent, clean, Subaru Outback LL Bean - 69K, 2016-07-08 14:10, http://newyork.craigslist.org/mnh/cto/5642199562.html, db:5642199562:db 
2016-07-09 16:43, 13.500, 46.500, 2011, outback, newyork, manual, good, clean, subaru- outback 2011- manual transmission, 2016-07-07 15:45, http://newyork.craigslist.org/que/cto/5671859282.html, db:5671859282:db 
2016-07-09 16:43, 9.200, 77.000, 2008, outback, newyork, automatic, unknown, clean, 2008 Subaru Outback wagon, 2016-07-07 07:14, http://newyork.craigslist.org/wch/cto/5643244531.html, db:5643244531:db 
2016-07-09 16:43, 11.500, 65.500, 2009, outback, newyork, automatic, unknown, clean, 2009 Subaru Outback Limited LTD AWD - only 65k miles, 2016-07-06 16:01, http://newyork.craigslist.org/brk/cto/5670275855.html, db:5670275855:db 
2016-07-09 16:43, 11.800, 65.700, 2009, outback, newyork, automatic, excellent, clean, 2009 Subaru Outback ltd h4 - only 65k miles !, 2016-06-27 16:39, http://newyork.craigslist.org/brk/cto/5656599359.html, db:5656599359:db 
2016-07-09 16:43, 12.000, 65.800, 2009, outback, newyork, automatic, excellent, clean, 2009 Subaru Outback LTD H4 - Limited - 65k miles !, 2016-06-21 12:49, http://newyork.craigslist.org/brk/cto/5646454861.html, db:5646454861:db 
2016-07-09 16:43, 15.000, 38.000, 2011, outback, newyork, manual, excellent, clean, Subaru Outback 2011 Manual trans. 2.5i, 2016-06-16 22:33, http://newyork.craigslist.org/mnh/cto/5639562678.html, db:5639562678:db 
2016-07-09 16:43, 16.000, 78.746, 2011, outback, newyork, automatic, unknown, clean, Subaru Outback Limited, 2016-06-16 20:47, http://hudsonvalley.craigslist.org/cto/5639448779.html, db:5639448779:db 
2016-07-09 16:43, 15.000, 56.000, 2011, outback, newyork, automatic, excellent, clean, Subaru Outback 2011 2.5i, 2016-06-14 20:28, http://cnj.craigslist.org/cto/5636055135.html, db:5636055135:db 
2016-07-09 16:43, 13.499, 52.000, 2010, forester, newyork, manual, excellent, clean, 2010 Subaru Forester: 52-000 Miles, 2016-07-09 17:29, http://newyork.craigslist.org/lgi/cto/5638522753.html, db:5638522753:db 
2016-07-09 16:43, 12.489, 76.868, 2010, forester, newyork, automatic, excellent, clean, 2010 Subaru Forester 2.5X Limited w/ All-Weather Package, 2016-07-09 12:51, http://newyork.craigslist.org/wch/cto/5638966022.html, db:5638966022:db 
2016-07-09 16:43, 13.500, 44.976, 2010, forester, newyork, automatic, good, clean, 2010 Subaru Forester- Low Miles, 2016-06-30 16:32, http://newjersey.craigslist.org/cto/5661603123.html, db:5661603123:db 
2016-07-09 16:43, 14.695, 56.000, 2011, forester, newyork, automatic, good, clean, 2011 Subaru Forester 56-000 miles, 2016-06-28 16:12, http://newhaven.craigslist.org/cto/5658260314.html, db:5658260314:db 
2016-07-09 16:43, 11.499, 34.750, 2011, forester, newyork, automatic, good, clean, 2011 Subaru Forester, 2016-06-26 16:38, http://cnj.craigslist.org/cto/5654965583.html, db:5654965583:db 
2016-07-09 16:43, 8.800, 69.000, 2011, impreza, newyork, automatic, unknown, clean, 2011 Subaru Impreza 2.5i Sedan Red/blk 69k Miles Clean title Nice Car, 2016-07-09 11:22, http://newyork.craigslist.org/lgi/cto/5635181861.html, db:5635181861:db 
2016-07-09 16:43, 12.500, 52.800, 2011, impreza, newyork, automatic, excellent, clean, 2011 Subaru Impreza-Hatchback, 2016-07-02 11:12, http://newyork.craigslist.org/fct/cto/5664158501.html, db:5664158501:db 
2016-07-09 16:43, 16.000, 33.333, 2010, impreza, newyork, manual, excellent, clean, Blue Subaru Impreza WRX, 2016-06-25 13:07, http://newyork.craigslist.org/mnh/cto/5653191737.html, db:5653191737:db 
2016-07-09 16:43, 16.000, 33.333, 2010, impreza, newyork, manual, excellent, clean, Selling my 2010 Subaru Impreza, 2016-06-24 12:43, http://newyork.craigslist.org/jsy/cto/5651518108.html, db:5651518108:db 
2016-07-09 16:43, 16.000, 33.333, 2010, impreza, newyork, manual, excellent, clean, 2010 Subaru WRX Great Condition, 2016-06-24 12:29, http://newyork.craigslist.org/mnh/cto/5651507741.html, db:5651507741:db 
2016-07-09 16:43, 16.000, 33.333, 2010, impreza, newyork, manual, excellent, clean, Subaru WRX Excellent Condition, 2016-06-23 14:05, http://newyork.craigslist.org/jsy/cto/5650023354.html, db:5650023354:db 
2016-07-09 16:43, 16.000, 33.333, 2010, impreza, newyork, manual, excellent, clean, Subaru Impreza 2010 Great Condition, 2016-06-23 13:50, http://newyork.craigslist.org/mnh/cto/5649994035.html, db:5649994035:db 
2016-07-09 16:43, 10.500, 55.000, 2010, impreza, newyork, automatic, good, clean, 2010 Subaru Impreza Hatchback, 2016-06-14 11:07, http://newyork.craigslist.org/jsy/cto/5635046300.html, db:5635046300:db 
